id,group_id,role,chosen,treat,cond,q1,q2,q3,q4,q5,q6,q7,q8,full_comp,invest_comp,tp_invest,tp_invest_perc,send,send_perc,return,return_perc,payoff,comments
z535c6rq2rqhix3x,1,TP,FALSE,Random / Anonymous,P,c,c,c,c,c,c,c,c,1,1,0,0,NA,NA,0,0,0,
z535c6rqa82d3jc9,271,TP,FALSE,Random / Anonymous,H,c,c,c,c,c,1,c,c,0,1,0.15,33.33,NA,NA,0.5,50,0,
z535c6rqah0qoax0,2,TP,TRUE,Random / Knowledge,P,c,c,c,c,c,c,c,c,1,1,0.25,55.56,NA,NA,0.5,50,0.22,
z535c6rq35ul8qb5,3,TP,FALSE,Random / Knowledge,H,c,c,c,c,c,c,c,c,1,1,0.25,55.56,NA,NA,0,0,0,
z535c6rqn6ckdh2z,4,TP,FALSE,Choice / Knowledge,P,c,c,c,c,c,c,c,c,1,1,0.1,22.22,NA,NA,0.5,50,0,
z535c6rqqcf3gafi,5,TP,FALSE,Choice / Knowledge,H,c,c,c,c,c,c,c,c,1,1,0,0,NA,NA,0,0,0,
z535c6rqxw9c3dud,1,TP,TRUE,Random / Anonymous,P,c,c,c,c,c,1,c,1,0,1,0.1,22.22,NA,NA,0.5,50,0.15,
z535c6rq1nxsnx6f,271,TP,TRUE,Random / Anonymous,H,c,c,c,c,c,c,c,c,1,1,0,0,NA,NA,0,0,0.6,
z535c6rqj9du3uh5,2,TP,FALSE,Random / Knowledge,P,c,c,c,c,c,c,c,c,1,1,0,0,NA,NA,0,0,0,no comments
z535c6rqk5b6bc02,3,TP,TRUE,Random / Knowledge,H,c,c,c,c,c,c,c,c,1,1,0.2,44.44,NA,NA,0.4,40,0.31,
z535c6rqw9e40za4,4,TP,TRUE,Choice / Knowledge,P,c,c,c,c,c,c,c,c,1,1,0,0,NA,NA,0.6,60,0,"Everything worked great, thanks!"
z535c6rqfk16pvy0,5,TP,TRUE,Choice / Knowledge,H,c,c,c,c,c,c,c,c,1,1,0.25,55.56,NA,NA,0,0,0,No comments thanks
z535c6rqm9r86xlr,270,TP,FALSE,Random / Anonymous,P,c,c,c,c,c,c,c,c,1,1,0,0,NA,NA,0,0,0,
z535c6rqphcji39w,6,TP,FALSE,Random / Anonymous,H,c,c,c,c,c,c,c,c,1,1,0.25,55.56,NA,NA,0.5,50,0,
z535c6rq6xpqjka3,7,TP,FALSE,Random / Knowledge,H,c,c,c,c,c,1,c,c,0,1,0.02,4.44,NA,NA,0,0,0,$
z535c6rq7xicg618,6,TP,TRUE,Random / Anonymous,H,c,3,2,c,2,2,c,1,0,0,0.05,11.11,NA,NA,0.1,10,0,
z535c6rq06fzz9he,405,TP,TRUE,Random / Knowledge,P,c,c,1,c,c,1,c,c,0,0,0,0,NA,NA,0.5,50,0,NA
z535c6rql0v22a6o,7,TP,TRUE,Random / Knowledge,H,c,c,c,c,c,c,c,c,1,1,0.05,11.11,NA,NA,0.2,20,0.72,
z535c6rqrndx66rv,273,TP,FALSE,Choice / Knowledge,P,c,c,c,c,c,c,c,c,1,1,0,0,NA,NA,0,0,0,
z535c6rq72dmmss8,274,TP,FALSE,Choice / Knowledge,H,c,c,1,c,c,c,c,c,0,0,0.05,11.11,NA,NA,0.1,10,0,
z535c6rqy5ox7exh,270,TP,TRUE,Random / Anonymous,P,c,c,c,c,c,c,c,c,1,1,0,0,NA,NA,0.5,50,0.22,
z535c6rq0ye1oovb,276,TP,TRUE,Random / Anonymous,H,c,c,c,3,c,c,c,c,0,0,0.25,55.56,NA,NA,0.5,50,0.45,interesting
z535c6rqaqtc78fi,273,TP,TRUE,Choice / Knowledge,P,c,3,c,c,c,c,c,c,0,0,0.35,77.78,NA,NA,0.5,50,0.15,
z535c6rqpj1xlgoq,274,TP,TRUE,Choice / Knowledge,H,c,1,c,2,c,c,2,c,0,0,0.2,44.44,NA,NA,0.5,50,0.45,
z535c6rq9g1s97z9,8,TP,TRUE,Random / Anonymous,P,c,1,c,c,c,1,c,c,0,0,0,0,NA,NA,0.5,50,0.45,
z535c6rq3j4a3xzw,276,TP,FALSE,Random / Anonymous,H,c,c,c,c,c,c,c,c,1,1,0,0,NA,NA,0.2,20,0,
z535c6rq3xs842h3,405,TP,FALSE,Random / Knowledge,P,c,c,c,1,c,c,c,c,0,0,0,0,NA,NA,0,0,0,
z535c6rqbw93vnil,9,TP,TRUE,Random / Knowledge,H,c,3,c,c,c,c,c,c,0,0,0.25,55.56,NA,NA,0,0,0.9,
z535c6rqr0wupb1i,277,TP,TRUE,Choice / Knowledge,P,c,c,c,c,c,c,c,c,1,1,0,0,NA,NA,0,0,0.3,
z535c6rqxdabd5gs,10,TP,TRUE,Choice / Knowledge,H,c,c,c,c,c,c,c,c,1,1,0.2,44.44,NA,NA,0,0,0.15,
z535c6rqnt4ovzub,8,TP,FALSE,Random / Anonymous,P,c,c,c,c,c,c,c,c,1,1,0,0,NA,NA,0,0,0,
z535c6rqzf3t40ap,9,TP,FALSE,Random / Knowledge,H,c,c,c,c,c,c,c,3,0,1,0,0,NA,NA,0.5,50,0,Good luck with your research.
z535c6rqz8tudy6e,277,TP,FALSE,Choice / Knowledge,P,c,c,c,c,c,c,c,c,1,1,0.25,55.56,NA,NA,0.5,50,0,
z535c6rqryv2wj94,10,TP,FALSE,Choice / Knowledge,H,c,c,1,c,c,c,c,c,0,0,0.15,33.33,NA,NA,0.4,40,0,
z535c6rqpd09tfcz,280,TP,FALSE,Random / Anonymous,H,c,3,c,c,c,1,3,c,0,0,0.45,100,NA,NA,0.5,50,0,
z535c6rqwyrl772a,406,TP,TRUE,Random / Knowledge,P,c,c,c,c,1,c,2,c,0,0,0.25,55.56,NA,NA,0.5,50,0.45,
z535c6rqiuxfxftv,12,TP,FALSE,Random / Knowledge,H,c,c,c,c,c,c,c,c,1,1,0.25,55.56,NA,NA,0.5,50,0,
