study,study6,study8,study9,study10,study11,study12,condition,punonly,helponly,helpfirst,TG,q1correct,q2correct,q3correct,q4correct,q5correct,q6correct,q7correct,compscore,perfectcomp,compscoreTG,perfectcompTG,postqcorrect,crt,highcrt,help,punish,return,anger,bad,deservep,outrage,compassion,deserves,good,posemot,age,male,edu,income,NFC,FII
8,0,1,0,0,0,0,Helping Only,0,1,,0,0,1,1,1,,,,3,0,,,,1,0,0,,,,,,,0,0,44,15,24,0,4,5,,
10,0,0,0,1,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,,2,1,,0,,,,,,,,,,23,1,5,1,3,4
9,0,0,1,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,,2,1,0,0,,0,0,0,0,0,0,78,26,22,1,5,3,,
9,0,0,1,0,0,0,Punishment + Helping,0,0,1,1,1,1,1,0,0,1,0,3,0,1,0,,1,0,1,0,50,100,100,100,100,44,44,44,44,66,1,4,6,,
9,0,0,1,0,0,0,Helping Only,0,1,,0,1,1,0,1,,,,3,0,,,,,,0,,,,,,,78,11,100,63,22,0,4,6,,
11,0,0,0,0,1,0,Punishment Only,1,0,,1,1,1,1,1,1,1,1,4,1,3,1,,3,1,,1,100,,,,,,,,,31,0,6,6,,
11,0,0,0,0,1,0,Punishment + Helping,0,0,1,1,1,1,1,1,1,1,1,4,1,3,1,,,,1,0,50,,,,,,,,,19,0,2,4,,
9,0,0,1,0,0,0,Punishment + Helping,0,0,0,1,1,1,1,0,1,0,1,3,0,2,0,,,,1,1,100,33,44,100,59,44,100,100,81,35,0,5,4,,
11,0,0,0,0,1,0,Helping Only,0,1,,1,1,1,1,1,1,1,1,4,1,3,1,,,,1,,50,,,,,,,,,25,1,4,4,,
8,0,1,0,0,0,0,Helping Only,0,1,,0,1,1,1,1,,,,4,1,,,,,,1,,,,,,,44,67,44,52,26,0,4,6,,
9,0,0,1,0,0,0,Punishment + Helping,0,0,1,1,1,1,0,1,1,1,1,3,0,3,1,,,,1,1,0,44,22,78,48,44,44,78,56,23,1,4,2,,
9,0,0,1,0,0,0,Helping Only,0,1,,0,1,1,1,1,,,,4,1,,,,,,1,,,,,,,78,78,78,78,26,1,4,2,,
10,0,0,0,1,0,0,Punishment Only,1,0,,1,1,1,1,0,0,0,1,3,0,1,0,,,,,0,20,,,,,,,,,56,0,2,4,3,5
9,0,0,1,0,0,0,Punishment Only,1,0,,1,0,0,1,0,0,0,0,1,0,0,0,,,,,0,60,78,78,44,67,,,,,35,0,5,7,,
12,0,0,0,0,0,1,Punishment + Helping,0,0,0,1,1,1,1,0,0,1,1,3,0,2,0,,,,0,0,10,,,,,,,,,26,0,2,5,,
11,0,0,0,0,1,0,Punishment + Helping,0,0,0,1,1,1,1,0,0,1,1,3,0,2,0,,,,1,1,10,,,,,,,,,26,0,4,5,,
10,0,0,0,1,0,0,Punishment + Helping,0,0,1,0,0,1,1,0,,,,2,0,,,,,,1,1,,,,,,,,,,28,0,6,9,1,5
9,0,0,1,0,0,0,Punishment + Helping,0,0,0,0,1,1,1,1,,,,4,1,,,,,,0,0,,0,0,0,0,0,0,0,0,28,1,4,3,,
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,0,,,,3,0,,,1,2,1,1,1,,50,,,50,,,,,25,0,4,2,3,4
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,0,0,,,,2,0,,,0,0,0,,0,,10,,,10,,,,,60,0,4,2,3,4
9,0,0,1,0,0,0,Punishment + Helping,0,0,0,0,1,1,1,1,,,,4,1,,,,,,0,0,,0,0,0,0,11,11,56,26,21,0,4,2,,
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,0,0,0,,,,1,0,,,0,0,0,1,1,,20,,,20,,,,,23,0,4,6,1,5
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,1,0,,,,3,0,,,1,0,0,,1,,0,,,0,,,,,34,1,2,8,4,5
10,0,0,0,1,0,0,Punishment + Helping,0,0,0,0,1,1,1,1,,,,4,1,,,,,,1,0,,,,,,,,,,47,1,6,4,3,4
